upedonid,MO,MOGr,LU,MOGrLU,rcasiteid,upedon,Sample_count,SOCstock5,SOCstock30,SOCstock100,total_thickness,SOC_count,Lab_count,Depth_to_R,Non-R_SampleCount,SOC_thickness,USE,RaCA_Id,Gen_lat,Gen_long
C1608X03-1,16,1608,X,1608X,C1608X03,C1608X031,5,13.7834937072752,42.495422969737895,64.833930006609,70,4,5,,5,70,100.0,C1608X03,37.22,-94.14
2010-MO207-C1609C01-1,16,1609,C,1609C,C1609C01,C1609C011,4,13.5413905258953,42.168555191851894,89.8032144181234,100,4,4,,4,100,100.0,C1609C01,36.76,-89.75
2011-AR031-C1609C02-1,16,1609,C,1609C,C1609C02,C1609C021,4,6.49778734371614,25.78173589448,57.2501548051016,100,4,4,,4,100,100.0,C1609C02,35.82,-90.6
C1609C03-1,16,1609,C,1609C,C1609C03,C1609C031,5,5.7435176080252806,25.3127533637524,53.2638576526699,100,5,5,,5,100,100.0,C1609C03,33.6,-90.11
2010-MO143-C1609C04-1,16,1609,C,1609C,C1609C04,C1609C041,5,4.82980414513462,28.718008099253,58.3438020614456,100,5,5,,5,100,100.0,C1609C04,36.81,-89.67
C1609C05-1,16,1609,C,1609C,C1609C05,C1609C051,5,13.6245289084211,52.7970643215102,123.92599995519,132,5,5,,5,132,100.0,C1609C05,34.41,-90.44
C1609C06-1,16,1609,C,1609C,C1609C06,C1609C061,5,7.147703019600001,40.849583533137796,119.746060072701,100,5,5,,5,100,100.0,C1609C06,36.03,-89.95
2010-MO069-C1609C07-1,16,1609,C,1609C,C1609C07,C1609C071,5,11.8205791341137,45.1809547974041,103.452003116406,100,5,5,,5,100,100.0,C1609C07,36.45,-90.02
C1609C08-1,16,1609,C,1609C,C1609C08,C1609C081,6,10.818468917778699,40.288554571732995,87.0493753530685,100,6,6,,6,100,100.0,C1609C08,33.32,-90.86
C1609C12-1,16,1609,C,1609C,C1609C12,C1609C121,9,8.16409929354921,35.414498575890796,75.6056248404596,203,6,9,,9,112,100.0,C1609C12,34.63,-91.48
2011-MO143-C1609C13-1,16,1609,C,1609C,C1609C13,C1609C131,5,1.6202644713761898,5.952430779735759,13.891323407832001,100,5,5,,5,100,100.0,C1609C13,36.73,-89.58
C1609C15-1,16,1609,C,1609C,C1609C15,C1609C151,7,15.0244026227859,91.3304556196233,163.77459959621402,203,5,7,,7,119,100.0,C1609C15,33.95,-91.67
2011-AR093-C1609C16-1,16,1609,C,1609C,C1609C16,C1609C161,5,15.825817983981901,64.0607630040524,284.797247202623,100,5,5,,5,100,100.0,C1609C16,35.88,-90.28
C1609C17-1,16,1609,C,1609C,C1609C17,C1609C171,5,10.179231491584599,55.802097556890104,,100,4,5,,5,77,30.0,C1609C17,35.01,-90.5
2010-MO069-C1609C18-1,16,1609,C,1609C,C1609C18,C1609C181,5,10.4880551705314,38.4210455870615,82.1663829028248,100,5,5,,5,100,100.0,C1609C18,36.0,-90.19
C1609C19-1,16,1609,C,1609C,C1609C19,C1609C191,5,10.440117092974,44.3850368536324,102.093923684409,100,5,5,,5,100,100.0,C1609C19,32.81,-90.96
C1609C21-1,16,1609,C,1609C,C1609C21,C1609C211,4,8.62914343581438,47.6940484281825,126.871289960548,100,4,4,,4,100,100.0,C1609C21,35.73,-89.99
C1609C22-1,16,1609,C,1609C,C1609C22,C1609C221,5,10.138201178547199,36.800455097629104,73.6598519448901,100,5,5,,5,100,100.0,C1609C22,34.34,-90.98
C1609C23-1,16,1609,C,1609C,C1609C23,C1609C231,5,7.980921152291041,52.344134598229296,135.488481638496,100,5,5,,5,100,100.0,C1609C23,33.55,-90.97
C1609C26-1,16,1609,C,1609C,C1609C26,C1609C261,5,5.10690751128735,18.9876388411455,34.1790952437852,100,5,5,,5,100,100.0,C1609C26,33.8,-90.95
2011-AR067-C1609C29-1,16,1609,C,1609C,C1609C29,C1609C291,4,6.84766779569476,26.949983110854102,60.48537034359511,100,4,4,,4,100,100.0,C1609C29,35.57,-91.17
2011-AR145-C1609C30-1,16,1609,C,1609C,C1609C30,C1609C301,4,7.86731016040917,29.8283868889107,52.7183303799463,115,4,4,,4,115,100.0,C1609C30,35.17,-91.48
C1609C31-1,16,1609,C,1609C,C1609C31,C1609C311,5,24.8255227252395,81.77998058140801,198.933671431627,100,5,5,,5,100,100.0,C1609C31,34.22,-90.66
C1609F01-1,16,1609,F,1609F,C1609F01,C1609F011,10,12.978877128997901,30.4935027758493,51.3493294330345,203,8,10,,10,100,100.0,C1609F01,34.21,-92.94
C1609F02-1,16,1609,F,1609F,C1609F02,C1609F021,4,39.2431612607449,112.409572563915,161.236199887848,100,4,4,,4,100,100.0,C1609F02,30.85,-91.93
C1609F03-1,16,1609,F,1609F,C1609F03,C1609F031,3,11.0339871370415,34.4305418215338,76.9915390037,100,3,3,,3,100,100.0,C1609F03,33.45,-93.36
C1609F06-1,16,1609,F,1609F,C1609F06,C1609F061,5,14.7946683859939,40.972753404021894,63.3919450625696,100,5,5,,5,100,100.0,C1609F06,35.31,-94.13
C1609F11-1,16,1609,F,1609F,C1609F11,C1609F111,5,20.896312557419602,44.6810940349189,63.3377889440866,100,5,5,,5,100,100.0,C1609F11,30.35,-90.72
C1609F83-1,16,1609,F,1609F,C1609F83,C1609F831,6,13.4741370591271,57.0002459037074,77.49908586137042,85,5,6,53.0,5,53,100.0,C1609F83,35.62,-93.69
C1609P01-1,16,1609,P,1609P,C1609P01,C1609P011,5,20.9757792398563,35.980732537497,49.666017082082206,150,5,5,,5,150,100.0,C1609P01,33.94,-95.41
2011-AR055-C1609P05-1,16,1609,P,1609P,C1609P05,C1609P051,4,12.3395451389517,25.9102600895954,42.2667429105011,100,4,4,,4,100,100.0,C1609P05,36.24,-90.4
C1609P07-1,16,1609,P,1609P,C1609P07,C1609P071,8,11.777127657404002,58.893568959887105,96.5435297307543,203,5,8,,8,125,100.0,C1609P07,34.32,-92.38
C1609P09-1,16,1609,P,1609P,C1609P09,C1609P091,6,25.388928922901698,65.04819143848829,103.083949467639,112,6,6,,6,112,100.0,C1609P09,32.45,-92.1
C1609P70-1,16,1609,P,1609P,C1609P70,C1609P701,5,29.1858780913193,72.03357694565291,136.972960440471,100,5,5,,5,100,100.0,C1609P70,30.13,-90.88
C1609R01-1,16,1609,R,1609R,C1609R01,C1609R011,4,7.9286663165606495,42.603161029442894,90.6321402795965,100,4,4,,4,100,100.0,C1609R01,35.11,-94.29
C1609R02-1,16,1609,R,1609R,C1609R02,C1609R021,5,8.17900896968286,21.3262406068217,50.9003830380311,200,5,5,,5,200,100.0,C1609R02,30.25,-95.48
C1609W01-1,16,1609,W,1609W,C1609W01,C1609W011,3,60.651250721504795,206.46889096093997,324.180543870474,100,3,3,,3,100,100.0,C1609W01,34.45,-90.4
C1609W03-1,16,1609,W,1609W,C1609W03,C1609W031,4,9.8741664318123,50.9507523339305,140.850672601473,100,4,4,,4,100,100.0,C1609W03,35.05,-90.38
C1609W04-1,16,1609,W,1609W,C1609W04,C1609W041,3,25.8692026593964,73.1904950405775,152.10416147863,100,3,3,,3,100,100.0,C1609W04,34.32,-90.34
C1609W05-1,16,1609,W,1609W,C1609W05,C1609W051,3,14.399379689872902,61.73076349985129,142.216750438824,100,3,3,,3,100,100.0,C1609W05,34.82,-90.35
C1609W06-1,16,1609,W,1609W,C1609W06,C1609W061,4,50.67836432310221,92.8173614602862,163.775296347376,100,4,4,,4,100,100.0,C1609W06,32.27,-91.21
C1609W08-1,16,1609,W,1609W,C1609W08,C1609W081,4,36.3401392696012,94.16360251401959,170.976575026334,100,4,4,,4,100,100.0,C1609W08,35.41,-90.0
