upedonid,MO,MOGr,LU,MOGrLU,rcasiteid,upedon,Sample_count,SOCstock5,SOCstock30,SOCstock100,total_thickness,SOC_count,Lab_count,Depth_to_R,Non-R_SampleCount,SOC_thickness,USE,RaCA_Id,Gen_lat,Gen_long
A0108P92-1,1,108,P,0108P,A0108P92,A0108P921,5,15.126360413094199,76.0220728111933,100.11394147944401,150,4,5,,5,100,100.0,A0108P92,48.85,-122.68
A0116P90-1,1,116,P,0116P,A0116P90,A0116P901,4,35.4817204220185,95.96555715963379,242.002573229696,100,4,4,,4,100,100.0,A0116P90,47.24,-122.08
A0116P94-1,1,116,P,0116P,A0116P94,A0116P941,3,36.8270553502387,104.147732963467,293.07958116185796,100,3,3,,3,100,100.0,A0116P94,47.24,-122.09
A0116X97_1,1,116,X,0116X,A0116X97,A0116X971,4,6.950620455876679,29.8547810896055,69.735243895192,100,4,4,,4,100,100.0,A0116X97,42.49,-113.18
A0120R93-1,1,120,R,0120R,A0120R93,A0120R931,5,13.072981943666699,53.2499708806964,116.996856229881,68,4,5,68.0,4,68,100.0,A0120R93,45.23,-117.07
A0201F96-1,2,201,F,0201F,A0201F96,A0201F961,4,6.785761443904389,24.840791786981395,29.3874374690865,40,3,4,40.0,3,40,100.0,A0201F96,35.41,-114.1
A0201F99-1,2,201,F,0201F,A0201F99,A0201F991,3,3.71967220731388,40.2226513313854,40.2226513313854,28,2,3,28.0,2,28,100.0,A0201F99,35.81,-118.07
A0204P96-1,2,204,P,0204P,A0204P96,A0204P961,4,10.4403756656198,55.089602556393004,71.3064612644003,42,3,4,42.0,3,42,100.0,A0204P96,33.56,-117.05
A0208P94-1,2,208,P,0208P,A0208P94,A0208P941,5,3.53768298652263,12.2208515396368,21.4537731592135,69,4,5,69.0,5,69,100.0,A0208P94,37.02,-120.04
A0209P89-1,2,209,P,0209P,A0209P89,A0209P891,3,10.5133503317168,52.882741630807104,74.88698585923109,51,3,3,,3,51,100.0,A0209P89,33.89,-117.05
A0209P90-1,2,209,P,0209P,A0209P90,A0209P901,4,6.45659545438324,16.0484629214556,,100,3,4,,4,90,30.0,A0209P90,33.15,-116.99
A0210R87-1,2,210,R,0210R,A0210R87,A0210R871,4,2.51539671276474,9.650725020864579,24.1491694232448,100,4,4,,4,100,100.0,A0210R87,34.43,-117.37
A0215P99-1,2,215,P,0215P,A0215P99,A0215P991,4,8.94701242180586,26.7878232736165,57.107740782807,100,4,4,,4,100,100.0,A0215P99,37.31,-120.26
A0216P99-1,2,216,P,0216P,A0216P99,A0216P991,4,8.66810442333641,27.4353338505905,41.2390055403051,100,4,4,,4,100,100.0,A0216P99,35.87,-119.36
A0218R94-1,2,218,R,0218R,A0218R94,A0218R941,5,42.6911878240866,101.577969392287,256.531805975518,100,5,5,,5,100,100.0,A0218R94,41.2,-121.38
A0219P96-1,2,219,P,0219P,A0219P96,A0219P961,8,13.4039994563362,39.6816112626126,61.4977526955476,100,8,8,,8,100,100.0,A0219P96,35.4,-120.57
A0220R97-1,2,220,R,0220R,A0220R97,A0220R971,4,4.99652782998472,7.579665879144749,,80,3,4,,4,58,30.0,A0220R97,39.49,-120.31
A0220R98-1,2,220,R,0220R,A0220R98,A0220R981,5,121.944029035071,634.904684319737,697.8959370839281,100,5,5,,5,100,100.0,A0220R98,39.03,-120.13
A0220R99-1,2,220,R,0220R,A0220R99,A0220R991,2,0.316312305240683,1.2670096462553502,2.02756751906708,50,2,2,,2,50,100.0,A0220R99,35.88,-118.02
A0305R90-1,3,305,R,0305R,A0305R90,A0305R901,3,6.10191838823959,12.116865822030801,28.7678293838082,100,3,3,,3,100,100.0,A0305R90,39.82,-119.75
A0305R92-1,3,305,R,0305R,A0305R92,A0305R921,3,11.006358311550601,31.6705478085011,39.9362236072813,65,2,3,40.0,2,40,100.0,A0305R92,38.86,-119.58
A0305R94-1,3,305,R,0305R,A0305R94,A0305R941,3,2.5874944705848,20.1301033251195,20.1301033251195,100,2,3,22.0,2,22,100.0,A0305R94,39.14,-119.81
A0305R97-1,3,305,R,0305R,A0305R97,A0305R971,3,0.552620568573574,2.94359828877623,31.6152711537807,100,3,3,,3,100,100.0,A0305R97,39.49,-118.74
A0306R88-1,3,306,R,0306R,A0306R88,A0306R881,3,0.8448750411629828,5.43774298133083,5.43774298133083,102,2,3,30.0,3,30,100.0,A0306R88,39.59,-119.29
A0306R91-1,3,306,R,0306R,A0306R91,A0306R911,3,0.454602312493508,3.0236759970180698,4.8360281481923,45,3,3,20.0,2,45,100.0,A0306R91,40.0,-118.82
A0306R92-1,3,306,R,0306R,A0306R92,A0306R921,3,1.04487508252073,5.652105877268139,7.494998195167099,102,2,3,40.0,3,40,100.0,A0306R92,39.59,-119.36
A0306R93-1,3,306,R,0306R,A0306R93,A0306R931,4,2.8637265351753,7.051791510678441,8.894540099899821,68,2,4,41.0,3,41,100.0,A0306R93,39.33,-118.37
A0306R96-1,3,306,R,0306R,A0306R96,A0306R961,3,0.661095713521871,3.26743189649091,3.26743189649091,100,2,3,20.0,2,20,100.0,A0306R96,39.04,-118.62
A0306R99-1,3,306,R,0306R,A0306R99,A0306R991,3,4.10113619398836,13.5251233947979,21.064313155445603,100,2,3,50.0,2,50,100.0,A0306R99,40.26,-118.77
RaCA11UTKC0151,8,801,F,0801F,A0801F97,A0801F971,4,3.5143878111422997,8.958351513673989,8.958351513673989,100,3,4,23.0,3,23,100.0,A0801F97,37.91,-111.44
RaCA11AZBS196,8,801,R,0801R,A0801R97,A0801R971,3,1.3895552357968401,5.40682749138738,14.6636248707313,100,3,3,,3,100,100.0,A0801R97,33.0,-112.5
RaCA11NMJR126,8,806,R,0806R,A0806R89,A0806R891,3,1.71280349167184,15.4547922448896,47.291848466638406,100,3,3,,3,100,100.0,A0806R89,31.95,-106.43
A1011X98-1,10,1011,X,1011X,A1011X98,A1011X981,5,32.9168258550029,142.640273756369,354.801876256166,152,5,5,,5,152,100.0,A1011X98,44.18,-96.07
A1107P95-1,11,1107,P,1107P,A1107P95,A1107P951,5,18.6216131313158,88.7816149645936,145.182283924746,150,5,5,,5,150,100.0,A1107P95,41.08,-86.24
A1405F9801,14,1405,F,1405F,A1405F98,A1405F981,4,42.929103956633895,909.0625663088301,3476.04564659964,100,4,4,,4,100,100.0,A1405F98,34.86,-77.36
A1406W9001,14,1406,W,1406W,A1406W90,A1406W901,6,192.612250117771,716.639797034352,957.2655564183211,100,6,6,,6,100,100.0,A1406W90,35.06,-77.61
A1408F9301,14,1408,F,1408F,A1408F93,A1408F931,4,114.70715802066601,154.994081514089,206.71822772179698,100,4,4,,4,100,100.0,A1408F93,35.24,-76.97
A1408W8901,14,1408,W,1408W,A1408W89,A1408W891,5,,,,100,1,5,,5,1,,A1408W89,35.0,-77.51
A1611F58-1,16,1611,F,1611F,A1611F58,A1611F581,4,11.6618119099416,24.1996222742099,47.524123770815706,100,4,4,,4,100,100.0,A1611F58,32.75,-90.43
A1611F63-1,16,1611,F,1611F,A1611F63,A1611F631,5,17.906856085054102,38.72701398607779,50.79230346564079,52,4,5,,5,52,100.0,A1611F63,37.82,-92.89
A1611F66-1,16,1611,F,1611F,A1611F66,A1611F661,5,24.1293614542763,43.29772551881061,55.3414351264351,100,5,5,,5,100,100.0,A1611F66,32.74,-90.36
A1611F81-1,16,1611,F,1611F,A1611F81,A1611F811,8,16.0048309497005,46.6411499182708,71.2696244588806,160,6,8,147.0,7,114,100.0,A1611F81,35.0,-92.38
A1611F85-1,16,1611,F,1611F,A1611F85,A1611F851,5,22.8809787578393,46.93537364558371,52.502486262211,50,4,5,,5,50,100.0,A1611F85,36.73,-92.68
C0101F01-1,1,101,F,0101F,C0101F01,C0101F011,3,169.511025205791,1076.86459121636,3805.80164245805,100,3,3,,3,100,100.0,C0101F01,47.01,-122.77
C0101W01-1,1,101,W,0101W,C0101W01,C0101W011,4,338.65470468051103,1205.6983079317802,3853.5602557268703,100,4,4,,4,100,100.0,C0101W01,47.59,-122.19
C0101W04-1,1,101,W,0101W,C0101W04,C0101W041,5,117.98180114018,231.81420238796397,,100,4,5,,5,80,30.0,C0101W04,46.4,-124.03
C0101W05-1,1,101,W,0101W,C0101W05,C0101W051,3,90.23219996837419,543.776106607399,1697.6828951314,100,3,3,,3,100,100.0,C0101W05,47.1,-124.04
C0101W06_1,1,101,W,0101W,C0101W06,C0101W061,8,95.00327941522042,551.1799556554149,719.421015383315,100,8,8,,8,100,100.0,C0101W06,43.72,-111.15
C0101W07-1,1,101,W,0101W,C0101W07,C0101W071,4,141.374520541608,737.1883504081329,1520.8490215894299,100,4,4,,4,100,100.0,C0101W07,48.0,-122.41
C0101W08-1,1,101,W,0101W,C0101W08,C0101W081,4,153.10387816435102,975.283952922352,3471.1287207723603,100,4,4,,4,100,100.0,C0101W08,46.11,-123.91
C0101W09-1,1,101,W,0101W,C0101W09,C0101W091,6,107.361566196714,412.034555663433,,100,5,6,,6,70,30.0,C0101W09,46.14,-122.99
C0101W10-1,1,101,W,0101W,C0101W10,C0101W101,4,73.5493954553741,491.752812110169,1081.66809267881,100,4,4,,4,100,100.0,C0101W10,46.34,-123.98
C0102C01-1,1,102,C,0102C,C0102C01,C0102C011,4,5.59258029840538,28.271851147588603,35.1827171137313,58,3,4,48.0,3,48,100.0,C0102C01,46.6,-119.04
C0102C02-1,1,102,C,0102C,C0102C02,C0102C021,4,11.2365412448053,35.8247024779509,39.6061368550564,35,3,4,35.0,4,35,100.0,C0102C02,43.46,-116.27
C0102C04-1,1,102,C,0102C,C0102C04,C0102C041,4,4.2998558623082,17.577580836686998,19.4781309781455,44,3,4,34.0,4,34,100.0,C0102C04,47.09,-119.89
C0102C05-1,1,102,C,0102C,C0102C05,C0102C051,6,5.381866129857969,23.240503205023103,48.68877685045079,115,6,6,,6,115,100.0,C0102C05,43.96,-117.1
C0102P01-1,1,102,P,0102P,C0102P01,C0102P011,3,4.00883515305561,10.1400204440647,10.1400204440647,31,2,3,21.0,2,21,100.0,C0102P01,45.91,-119.27
C0102P02_1,1,102,P,0102P,C0102P02,C0102P021,5,11.0287801390255,28.102593087990698,38.2677427886284,46,4,5,46.0,4,46,100.0,C0102P02,43.08,-112.57
C0102P03_1,1,102,P,0102P,C0102P03,C0102P031,5,5.19957325987117,103.519458503782,121.064644935267,55,4,5,55.0,5,55,100.0,C0102P03,42.5,-114.52
C0102P04_1,1,102,P,0102P,C0102P04,C0102P041,3,5.42106504719888,23.2539912926829,23.2539912926829,54,2,3,29.0,2,29,100.0,C0102P04,42.54,-113.42
C0102R01-1,1,102,R,0102R,C0102R01,C0102R011,3,3.84504629777359,15.006853881605801,15.006853881605801,38,2,3,28.0,2,28,100.0,C0102R01,46.32,-119.58
C0102R02-1,1,102,R,0102R,C0102R02,C0102R021,3,4.58952040499739,13.7224733209762,22.4610900595727,70,3,3,,3,70,100.0,C0102R02,43.35,-116.55
C0102R03-1,1,102,R,0102R,C0102R03,C0102R031,4,5.71624460837394,18.9353510128047,21.656115746090602,45,3,4,35.0,3,35,100.0,C0102R03,46.38,-119.95
C0102R08-1,1,102,R,0102R,C0102R08,C0102R081,4,6.1910986663187595,22.3658425650274,22.3658425650274,28,3,4,28.0,3,28,100.0,C0102R08,44.55,-117.15
C0102R12-1,1,102,R,0102R,C0102R12,C0102R121,4,9.29187914371181,35.3362795145851,37.024118371385,32,3,4,32.0,3,32,100.0,C0102R12,47.59,-118.52
C0102X02-1,1,102,X,0102X,C0102X02,C0102X021,4,2.82092306197209,15.134985818725099,15.134985818725099,30,3,4,30.0,4,30,100.0,C0102X02,47.27,-119.12
C0103C05-1,1,103,C,0103C,C0103C05,C0103C051,5,3.0312472749430497,15.4009020121905,37.8164852964933,94,4,5,84.0,4,84,100.0,C0103C05,45.98,-120.0
C0103C07-1,1,103,C,0103C,C0103C07,C0103C071,5,14.760230904616,54.34249192488301,78.93862515074109,71,4,5,71.0,5,71,100.0,C0103C07,45.05,-117.93
C0103C08-1,1,103,C,0103C,C0103C08,C0103C081,4,6.25179096906625,22.7040848586713,24.009550079525297,33,3,4,33.0,3,33,100.0,C0103C08,46.3,-117.09
C0103F03-1,1,103,F,0103F,C0103F03,C0103F031,6,161.193206608313,412.587771910648,492.386540592771,110,6,6,,6,110,100.0,C0103F03,45.01,-123.57
C0103F04-1,1,103,F,0103F,C0103F04,C0103F041,5,189.36448052967202,411.604556821757,443.709628905834,48,4,5,38.0,4,38,100.0,C0103F04,45.83,-123.57
C0103P01-1,1,103,P,0103P,C0103P01,C0103P011,4,32.2058854209075,74.0089223465903,78.0673912672072,33,3,4,33.0,3,33,100.0,C0103P01,44.56,-116.55
C0103P02-1,1,103,P,0103P,C0103P02,C0103P021,4,7.5078710326368,27.4262376466684,27.4262376466684,37,3,4,27.0,4,27,100.0,C0103P02,46.6,-120.68
C0103P03-1,1,103,P,0103P,C0103P03,C0103P031,4,3.73447356186518,6.65142855163573,6.65142855163573,33,3,4,23.0,3,23,100.0,C0103P03,45.82,-120.58
C0103P04-1,1,103,P,0103P,C0103P04,C0103P041,5,3.78728888267504,19.9044263945433,28.588310714693197,44,4,5,44.0,4,44,100.0,C0103P04,44.49,-121.15
C0103P05-1,1,103,P,0103P,C0103P05,C0103P051,5,27.661552944396,69.07641621884979,75.99383189082,53,4,5,43.0,5,43,100.0,C0103P05,45.04,-120.36
C0103R01-1,1,103,R,0103R,C0103R01,C0103R011,4,3.3501349721023397,18.1620438945437,25.044503103019398,44,3,4,44.0,3,44,100.0,C0103R01,45.23,-120.3
C0103R02-1,1,103,R,0103R,C0103R02,C0103R021,4,12.3470043184024,59.807242711872505,59.807242711872505,28,3,4,28.0,3,28,100.0,C0103R02,44.6,-116.79
C0103R03-1,1,103,R,0103R,C0103R03,C0103R031,4,3.85225779425034,13.4699069198005,13.929794458045402,32,3,4,32.0,3,32,100.0,C0103R03,44.84,-116.99
C0103R04-1,1,103,R,0103R,C0103R04,C0103R041,3,4.42236502572265,15.6900220395522,15.6900220395522,23,2,3,23.0,2,23,100.0,C0103R04,44.81,-121.08
C0103R05-1,1,103,R,0103R,C0103R05,C0103R051,4,15.369329774018901,50.7240546200957,66.8651374985969,49,3,4,49.0,3,49,100.0,C0103R05,45.39,-119.42
C0103X01-1,1,103,X,0103X,C0103X01,C0103X011,4,9.20391499202159,45.5375568869234,57.61736147185061,41,3,4,41.0,3,41,100.0,C0103X01,46.38,-117.66
C0103X03-1,1,103,X,0103X,C0103X03,C0103X031,4,4.751247445344401,28.3294568917875,64.8370002608586,127,4,4,,4,127,100.0,C0103X03,47.62,-119.87
C0103X04_1,1,103,X,0103X,C0103X04,C0103X041,5,8.33801096303722,52.5814788715267,123.032870394868,100,5,5,,5,100,100.0,C0103X04,43.83,-111.44
C0103x05-1,1,103,X,0103X,C0103X05,C0103X051,4,2.6070975253172297,20.430993265101897,20.430993265101897,29,3,4,29.0,3,29,100.0,C0103X05,44.71,-121.11
C0104F01-1,1,104,F,0104F,C0104F01,C0104F011,5,143.40617187218598,380.930429378281,529.021801343197,100,5,5,,5,100,100.0,C0104F01,46.32,-123.29
C0104F02-1,1,104,F,0104F,C0104F02,C0104F021,6,99.0277111695055,270.233162430089,393.300079294847,120,6,6,,6,120,100.0,C0104F02,45.52,-122.19
C0104F03-1,1,104,F,0104F,C0104F03,C0104F031,5,49.730827086907205,154.89369752297,,100,4,5,,5,70,30.0,C0104F03,46.8,-124.48
C0104F04-1,1,104,F,0104F,C0104F04,C0104F041,7,98.2131112984998,222.444692444148,518.577721419564,106,7,7,,7,106,100.0,C0104F04,44.78,-123.94
C0104F05-1,1,104,F,0104F,C0104F05,C0104F051,5,143.945017744287,370.55111556106203,620.111955394277,80,5,5,,5,80,100.0,C0104F05,47.92,-124.52
C0104F06-1,1,104,F,0104F,C0104F06,C0104F061,6,140.038455090955,323.24995555632097,529.862414704894,100,6,6,,6,100,100.0,C0104F06,46.37,-123.62
C0104F07-1,1,104,F,0104F,C0104F07,C0104F071,7,159.78853441655,624.8301230048,,100,6,7,,7,59,30.0,C0104F07,47.74,-124.26
C0104F08-1,1,104,F,0104F,C0104F08,C0104F081,6,138.683121901211,293.246423162152,453.261809490329,94,5,6,84.0,5,84,100.0,C0104F08,45.76,-123.67
C0104F09-1,1,104,F,0104F,C0104F09,C0104F091,6,137.016630258244,341.51970316306,,100,5,6,,6,55,30.0,C0104F09,47.9,-124.5
C0104F10-1,1,104,F,0104F,C0104F10,C0104F101,4,74.1343795837848,256.602526147378,417.762991790136,100,4,4,,4,100,100.0,C0104F10,46.87,-123.77
C0104P01-1,1,104,P,0104P,C0104P01,C0104P011,5,33.032356322737,244.74926268589198,344.942305299975,100,5,5,,5,100,100.0,C0104P01,46.93,-122.64
C0104P02-1,1,104,P,0104P,C0104P02,C0104P021,4,76.5174722431162,213.990093334926,324.121645804261,100,4,4,,4,100,100.0,C0104P02,45.85,-122.74
C0104P03-1,1,104,P,0104P,C0104P03,C0104P031,4,50.7194027064691,144.331123543143,245.40777237769902,100,4,4,,4,100,100.0,C0104P03,46.37,-123.79
C0104P04-1,1,104,P,0104P,C0104P04,C0104P041,6,75.2188252541466,276.617940245121,,100,5,6,,6,66,30.0,C0104P04,47.95,-124.38
C0104P05-1,1,104,P,0104P,C0104P05,C0104P051,6,12.794415453509801,83.8898990105515,,100,5,6,,6,70,30.0,C0104P05,45.83,-122.63
C0105F01-1,1,105,F,0105F,C0105F01,C0105F011,5,75.20950426146891,94.1951529462687,117.94766174743499,75,5,5,,5,75,100.0,C0105F01,47.52,-123.08
C0105F02-1,1,105,F,0105F,C0105F02,C0105F021,5,34.5873391492377,104.81871745673901,155.83623255798,100,5,5,,5,100,100.0,C0105F02,46.36,-122.49
C0105F03-1,1,105,F,0105F,C0105F03,C0105F031,5,165.717306760292,207.03693747078998,208.944396546595,43,4,5,33.0,4,33,100.0,C0105F03,44.19,-122.4
C0105F04-1,1,105,F,0105F,C0105F04,C0105F041,6,46.8772655250835,91.1806537016579,,93,5,6,,6,68,30.0,C0105F04,47.17,-123.34
C0105F05-1,1,105,F,0105F,C0105F05,C0105F051,6,154.08238598975402,372.66599875879206,,100,5,6,,6,63,30.0,C0105F05,47.01,-123.6
C0105F06-1,1,105,F,0105F,C0105F06,C0105F061,5,54.98714773479671,160.587807233335,248.852178337571,100,5,5,50.0,4,100,100.0,C0105F06,48.31,-121.96
C0105F07-1,1,105,F,0105F,C0105F07,C0105F071,4,133.831569454733,293.783292976089,314.685156121143,60,4,4,,4,60,100.0,C0105F07,48.5,-121.97
C0105F08-1,1,105,F,0105F,C0105F08,C0105F081,5,73.7295441828264,136.361236703382,228.292639658085,100,5,5,,5,100,100.0,C0105F08,47.2,-123.28
C0105F09-1,1,105,F,0105F,C0105F09,C0105F091,5,126.715174299415,239.09247902902402,470.8636964859599,100,5,5,,5,100,100.0,C0105F09,47.66,-124.18
C0105F10-1,1,105,F,0105F,C0105F10,C0105F101,8,115.093162371019,268.733366952458,,100,7,8,,8,59,30.0,C0105F10,46.46,-122.36
C0105F11-1,1,105,F,0105F,C0105F11,C0105F111,5,63.5049235559784,103.716671413347,181.19222370421699,100,5,5,,5,100,100.0,C0105F11,46.05,-122.27
C0106C01_1,1,106,C,0106C,C0106C01,C0106C011,4,4.1023330961768405,44.38787327568439,83.60330475470059,100,4,4,51.0,4,100,100.0,C0106C01,42.52,-114.78
C0106C02_1,1,106,C,0106C,C0106C02,C0106C021,4,4.969104782811151,38.541325434407895,69.8918328099464,100,4,4,,4,100,100.0,C0106C02,42.32,-114.62
C0106C03_1,1,106,C,0106C,C0106C03,C0106C031,5,13.651025915579801,45.0986152561393,62.674264505031005,74,5,5,30.0,5,74,100.0,C0106C03,42.47,-114.85
C0106C04_1,1,106,C,0106C,C0106C04,C0106C041,6,4.6388205540080705,39.536449463859,57.40768079188211,86,5,6,86.0,6,86,100.0,C0106C04,42.49,-114.8
C0106C05-1,1,106,C,0106C,C0106C05,C0106C051,5,20.2713172263839,86.78704131590142,105.822386236507,50,4,5,50.0,5,50,100.0,C0106C05,43.53,-116.35
C0106F02-1,1,106,F,0106F,C0106F02,C0106F021,4,15.959056135326,63.6980451986869,72.1908846151757,35,3,4,35.0,3,35,100.0,C0106F02,48.6,-123.13
C0106F03-1,1,106,F,0106F,C0106F03,C0106F031,5,104.88772712397801,155.667517648879,161.61268652292,45,4,5,35.0,4,35,100.0,C0106F03,42.97,-123.84
C0106F04-1,1,106,F,0106F,C0106F04,C0106F041,6,67.4048090196381,128.28013793200398,148.70245474583598,47,5,6,47.0,5,47,100.0,C0106F04,48.6,-123.12
C0106F05-1,1,106,F,0106F,C0106F05,C0106F051,4,2.81018980737472,24.604877535743103,24.604877535743103,37,3,4,27.0,3,27,100.0,C0106F05,47.43,-120.5
C0106F06-1,1,106,F,0106F,C0106F06,C0106F061,4,6.592344851930309,17.0300253633636,25.4798755496813,49,3,4,49.0,3,49,100.0,C0106F06,44.09,-121.46
C0106R01_1,1,106,R,0106R,C0106R01,C0106R011,7,5.86895278566134,21.186522510043897,36.89957522542171,79,6,7,79.0,6,79,100.0,C0106R01,42.9,-114.29
C0106R02_1,1,106,R,0106R,C0106R02,C0106R021,4,8.68293916756844,31.8227543467796,43.2894308151689,48,4,4,44.0,4,48,100.0,C0106R02,42.42,-114.07
C0106R03-1,1,106,R,0106R,C0106R03,C0106R031,3,3.4233436183985697,11.6992631222774,11.6992631222774,29,2,3,19.0,2,19,100.0,C0106R03,46.88,-120.67
C0107C01-1,1,107,C,0107C,C0107C01,C0107C011,6,6.718529840406309,25.700550409417,68.0077946715824,100,6,6,,6,100,100.0,C0107C01,44.48,-123.25
C0107C02-1,1,107,C,0107C,C0107C02,C0107C021,6,15.0604245573543,76.71652549510321,166.09404112126302,152,6,6,,6,152,100.0,C0107C02,46.59,-117.01
C0107C03-1,1,107,C,0107C,C0107C03,C0107C031,6,16.7145522646226,96.6503839661175,212.76165439382402,100,6,6,,6,100,100.0,C0107C03,44.59,-122.91
C0107C04-1,1,107,C,0107C,C0107C04,C0107C041,5,14.685553218213801,83.5856371098979,192.002214300482,100,5,5,,5,100,100.0,C0107C04,44.75,-123.33
C0107C05_1,1,107,C,0107C,C0107C05,C0107C051,6,5.34053130768801,34.1538670273178,85.6458717629103,100,6,6,,6,100,100.0,C0107C05,43.74,-111.9
C0107C08-1,1,107,C,0107C,C0107C08,C0107C081,9,14.2104051378456,73.2626383638815,208.886903804687,152,7,9,,9,100,100.0,C0107C08,46.84,-117.27
C0107F01-1,1,107,F,0107F,C0107F01,C0107F011,5,76.69332490828191,158.761855909068,196.402934392542,50,5,5,,5,50,100.0,C0107F01,45.76,-122.32
C0107F02-1,1,107,F,0107F,C0107F02,C0107F021,8,184.885955185072,627.905363132249,,100,7,8,,8,84,30.0,C0107F02,48.27,-124.65
C0107F04-1,1,107,F,0107F,C0107F04,C0107F041,6,7.1084854307563,41.810654683695205,91.78124400903829,125,6,6,,6,125,100.0,C0107F04,45.9,-123.19
C0107F05-1,1,107,F,0107F,C0107F05,C0107F051,6,9.243675334827829,45.9275501136172,82.590651489122,100,6,6,,6,100,100.0,C0107F05,45.39,-122.43
C0107F06-1,1,107,F,0107F,C0107F06,C0107F061,4,6.08444156012347,35.0347637036813,180.717824725192,107,4,4,,4,107,100.0,C0107F06,46.18,-117.96
C0107P01-1,1,107,P,0107P,C0107P01,C0107P011,4,74.72052898375959,241.69412400066898,591.529889151118,106,4,4,,4,106,100.0,C0107P01,44.78,-123.92
C0107P02-1,1,107,P,0107P,C0107P02,C0107P021,4,19.182977518494397,30.2366101366085,153.521580820312,100,4,4,,4,100,100.0,C0107P02,43.89,-116.71
C0107P03-1,1,107,P,0107P,C0107P03,C0107P031,4,1.35485022481691,130.372254908295,188.501127440061,100,4,4,,4,100,100.0,C0107P03,46.65,-123.11
C0107P04_1,1,107,P,0107P,C0107P04,C0107P041,5,159.28500048658898,330.61150890709,350.705692801971,79,5,5,,5,79,100.0,C0107P04,44.35,-113.6
C0107P05-1,1,107,P,0107P,C0107P05,C0107P051,6,12.3835268065086,54.573206135908,98.33512972371719,150,6,6,,6,150,100.0,C0107P05,44.86,-117.92
C0107R01_1,1,107,R,0107R,C0107R01,C0107R011,5,7.757373631624019,26.8231824978192,63.3785693826957,100,5,5,,5,100,100.0,C0107R01,42.46,-113.42
C0107R02_1,1,107,R,0107R,C0107R02,C0107R021,4,14.6851792859166,49.7294875295068,96.9311904200964,75,4,4,,4,75,100.0,C0107R02,42.42,-114.42
C0107R03-1,1,107,R,0107R,C0107R03,C0107R031,5,3.53787356167355,17.7857008622837,31.5943875272513,100,5,5,,5,100,100.0,C0107R03,46.59,-120.78
C0107R04-1,1,107,R,0107R,C0107R04,C0107R041,6,3.01412814885027,10.058755538963599,19.436217289642602,100,6,6,,6,100,100.0,C0107R04,45.7,-119.3
C0107R06_1,1,107,R,0107R,C0107R06,C0107R061,5,30.9680860417444,81.0374777363602,119.99527051041201,100,5,5,,5,100,100.0,C0107R06,43.77,-112.0
C0107R08_1,1,107,R,0107R,C0107R08,C0107R081,5,81.8387192246393,176.09609118017,219.350434970863,100,5,5,,5,100,100.0,C0107R08,44.57,-114.24
C0107W01_1,1,107,W,0107W,C0107W01,C0107W011,5,50.16915257107021,211.92122868385601,687.16147866153,100,5,5,,5,100,100.0,C0107W01,43.01,-112.59
C0107W02_1,1,107,W,0107W,C0107W02,C0107W021,7,15.237212578183,92.39654702812331,184.468215237416,90,7,7,,7,90,100.0,C0107W02,43.34,-114.15
C0107W03_1,1,107,W,0107W,C0107W03,C0107W031,5,38.0329020662662,150.166821573005,209.214621889968,85,5,5,,5,85,100.0,C0107W03,43.66,-111.14
C0107W04-1,1,107,W,0107W,C0107W04,C0107W041,6,14.0658289962853,80.5261960294627,209.082038639393,100,6,6,,6,100,100.0,C0107W04,45.08,-123.32
C0107W05_1,1,107,W,0107W,C0107W05,C0107W051,6,66.6045493418222,75.9506674338346,91.8456290889427,100,6,6,,6,100,100.0,C0107W05,43.9,-112.45
C0107X01-1,1,107,X,0107X,C0107X01,C0107X011,6,13.774869962394499,68.9017178253883,106.112346737416,152,6,6,,6,152,100.0,C0107X01,46.31,-117.77
C0107X02-1,1,107,X,0107X,C0107X02,C0107X021,5,4.53183575324534,19.2335438862075,45.7520008998306,152,5,5,,5,152,100.0,C0107X02,46.82,-118.45
C0108C02-1,1,108,C,0108C,C0108C02,C0108C021,6,6.374614794619269,31.1967692306459,,100,5,6,,6,74,30.0,C0108C02,45.19,-123.13
C0108C03-1,1,108,C,0108C,C0108C03,C0108C031,7,11.4231415140981,62.127693864587705,,95,6,7,,7,85,30.0,C0108C03,44.27,-123.15
C0108C04-1,1,108,C,0108C,C0108C04,C0108C041,7,1.65822201377896,33.9957503949357,65.1453027894695,100,7,7,,7,100,100.0,C0108C04,45.17,-122.99
C0108C05-1,1,108,C,0108C,C0108C05,C0108C051,7,18.506280834574103,99.6858261413036,153.116711479594,160,5,7,,7,100,100.0,C0108C05,48.44,-122.47
C0108C06-1,1,108,C,0108C,C0108C06,C0108C061,7,9.092449819917789,48.436294410555,69.8505686361991,100,7,7,,7,100,100.0,C0108C06,45.03,-122.76
C0108F02-1,1,108,F,0108F,C0108F02,C0108F021,5,29.6170597077614,83.1724427971584,568.801728272487,100,5,5,,5,100,100.0,C0108F02,46.31,-123.72
C0108F03-1,1,108,F,0108F,C0108F03,C0108F031,8,164.900219975431,342.248711204534,,152,6,8,,8,80,30.0,C0108F03,46.92,-122.62
C0108F04-1,1,108,F,0108F,C0108F04,C0108F041,5,77.3620158193834,183.33451718527002,306.15773933359696,100,5,5,,5,100,100.0,C0108F04,44.26,-123.0
